median_house_value,predicted
108300,100091.40714215516
212300,270626.610797446
129200,196542.3505582192
351500,294411.32629938645
500001,332376.97659942176
194500,324888.6619181226
110700,132225.58550111868
500001,150360.1718613285
310900,298176.15519730427
94700,107283.87689418471
369700,299057.19720773806
208800,271119.30387247395
163100,189207.67772964083
157600,229155.22876261454
114000,182083.4898514606
210400,226268.8938482857
249400,210534.31198844544
165100,217901.85268570355
500001,577561.3466633147
280800,299504.77756739233
313800,247807.6836984376
244600,254912.7544292197
500001,381592.08584280487
104100,145550.8609035383
84600,14090.134946280727
144800,213124.5033734236
257200,223175.44026047058
500001,287768.82641260844
322600,209289.30618394655
154300,189527.94537268538
189000,220285.93940565665
80900,160653.77095365955
120000,120397.09581640252
144600,195927.30052301625
229100,212454.5923225318
199200,227040.92460538473
128900,173821.23299362147
64700,119603.33016430092
276600,215678.86518463382
158900,317774.791648814
149000,159796.92179798073
336000,267698.91718899505
112500,253834.8539839037
115800,148856.90885220867
213800,166941.77146958318
247300,291133.2744718327
113300,51988.371201382586
176000,214271.78414252575
99300,90910.87970162267
223400,240713.8503708774
183300,191508.49939674718
341700,318879.6191693524
119500,148780.7670595939
194800,207961.43210273935
101600,140914.7525361752
160400,214385.99123880477
123600,224242.55310746626
132100,199214.36351005326
121400,175156.25068452657
500001,350678.04494374583
436800,245203.70276995137
156300,207460.2726326487
230800,274349.90925075475
116400,176851.42580608267
131600,200548.3323332033
107900,167095.0794972907
120100,152088.62123660604
275000,263823.02321885584
292600,261869.99763405393
229200,159699.5515430547
315800,288874.03468249703
226000,248026.78861915105
214600,241884.51161150725
65800,76179.80450993196
157700,155088.7697665573
114100,125338.37777333967
147200,137007.876590967
219200,308103.32194515364
275800,300876.7939145162
260500,237718.60989709845
213100,254578.56203981212
500001,497019.12188265973
76200,129903.37080638115
90100,164473.92083245396
101400,174875.49178114167
181200,222921.91347615578
500001,328893.47375319473
366100,231189.50100693636
288500,231536.0602980147
141800,197869.37655808666
500000,235154.0967590656
200000,242930.22049862763
191400,264103.1657272498
420000,334719.45384742005
259600,272549.1283688124
87800,132891.69047343615
96900,115246.22608107714
229000,242822.2421885845
183300,217124.44487893608
148100,207411.01403876196
226300,176116.24312865414
95600,202127.845212264
131000,209351.3650259459
390600,309722.72921375534
72700,103173.5591276303
462700,332700.9833782449
233800,214029.2516458106
347600,301748.6964668992
137500,51289.623296257254
270500,282733.6554360717
217100,249397.74889982148
152300,151349.30088627755
99800,171658.05797637906
82100,125859.21123404763
265900,258190.60035702243
209900,270126.05330017733
346800,288989.89497120096
187500,206719.70210676067
270700,288523.6444579673
97300,110743.56984316476
362500,253588.09834692697
98700,194807.6537795332
254600,221456.40090100616
494400,264516.41766707716
72300,108234.72208125347
70400,122284.84730181572
99800,150148.0989953816
72800,82533.5922698656
500001,208940.04010094266
126000,157991.10208315492
56200,149540.34409228584
104200,96535.81450799167
293200,281653.30380868743
73000,113209.0530283984
290400,285587.5486813893
167400,186769.08676234132
121400,93186.46229029183
94000,132001.40465887412
160600,192090.93977743306
234900,189254.3468293961
122700,132704.18461726775
118800,154832.62907070288
137500,175967.9124415967
72900,108000.99620957249
81300,134842.54922322484
152700,205428.02404171947
100400,213410.03444713395
156800,249449.066109786
396300,265008.08780308545
256300,209835.45976918715
287500,237768.09009818803
178200,204664.5278554734
475800,485259.2894928227
392400,318184.55336752423
387500,356113.0990925444
147100,187662.8596566292
246700,245743.79116748853
264400,124532.14896932102
105100,164263.1562180356
127800,200156.01693679832
90500,82213.34141009225
70000,203250.23233698145
65000,46701.935496385646
111200,148977.44242566187
175800,229133.84066857735
57400,158103.81392325723
175000,157288.5735859274
245800,437653.86438888346
169100,207127.24400319863
268700,294757.0212324418
152600,210853.44946291108
291500,273417.5143463897
174200,188011.2725924636
178600,227807.66099354305
139600,158335.26211322058
96300,131607.0093767859
183300,185674.37694853608
158900,215728.45067450928
341900,336123.76546984445
92600,123077.42904360128
166300,221003.15213727843
93100,106002.63042988445
374000,332559.06944306614
206100,184745.7855527356
92200,50499.45480780912
173400,216998.12159406752
89200,129012.82585420282
116100,122434.15030368906
289200,305134.39137797
350000,291974.48808519344
174300,272256.76553554396
118200,165916.4163407142
141700,161631.11404614392
426900,321468.0083047517
67500,8348.713063701012
239200,252242.35433530164
200500,225824.63085056838
113700,95484.57892771681
227700,238900.75825831064
244000,184723.5823068113
233700,227575.51435958358
432400,535187.7902326421
60000,111439.23267803265
206300,154947.06157359306
286500,292896.96248950134
87500,257889.43216614838
362500,210347.94280967044
184600,191744.49358975538
311100,259695.89436392934
125000,188283.60392049013
346200,161647.35742379553
277600,271826.2841153092
119200,158608.6872808158
110500,165501.97246067817
143200,147669.94810185197
500001,451218.2457319393
500001,534955.9940377253
192500,171661.43139008383
265200,238700.5501150202
156100,173593.59667164506
343400,235349.78732404672
165400,214123.32797314523
326500,173960.50732899457
54600,126377.14766743193
109400,145367.14948796545
124000,169053.88166253176
193200,217698.83275123395
185500,254150.19052530118
315600,329203.70460113237
260500,229151.9037765467
109700,219931.06541718764
191100,153521.7388940086
155500,167272.939897049
55200,35204.915293135535
500001,388423.10516667494
500001,546786.3762611892
234900,265632.4521982912
110800,206018.78590716815
224400,264406.40288126643
271200,288867.26242197875
178000,205961.69021888767
188500,142555.80951231654
228900,272185.7046054709
183800,222597.8797481127
85400,83344.33464383116
116700,63419.326570734615
278200,244994.1848174014
239100,274931.9497877704
216800,224398.48203163015
128800,58949.101851198095
402300,375434.6393362043
203300,186874.8599785415
72200,162859.2488602043
170700,192558.15138447678
222100,191699.35744377144
223900,187678.26728112035
130100,164693.39565793882
93800,113330.41776653467
139200,193932.3204945887
302200,253744.48116150338
54300,112178.41944784847
187500,120755.43289117087
163400,185246.968017081
230700,232480.84852950167
151700,186458.99493362027
191400,141751.14988818788
160100,265030.0724701871
208500,330192.8829431421
52100,103142.60401569743
282100,292695.58028112096
218100,183875.2131397596
465800,290022.9556954703
144300,132498.43799812652
113600,120562.64621146329
87300,101505.35160244886
282500,319896.9400493762
259400,285688.59404177865
274800,310868.1815687417
500001,419819.24567413237
143000,128929.04207668552
84200,98006.59394571929
72900,120608.8006640807
500001,485273.7143885358
455500,393634.44878999185
164600,201471.03382835476
257600,239300.81959614492
169800,233313.63150472092
98500,111263.13495668193
56700,27638.220997022756
175000,171545.72578771604
187500,144096.7956780707
60000,136254.6306800607
159400,200669.97909331284
181900,124543.89959921304
381300,333394.779227442
416700,379821.19640521903
292500,211699.86550537805
78400,107342.74721560064
71300,150257.2449895044
246400,284192.5468883764
258100,295966.93960133335
500001,479966.7941620242
200000,126967.52956491956
181800,226947.62535790162
250000,361238.69577578333
276200,238245.1438104402
292900,283193.28477238
101000,166177.8220254773
63300,127488.09227033058
265300,320057.0252455423
225000,237511.1020505507
114200,180122.32913992187
139800,186385.33762305736
286300,252584.28596995497
55200,70741.15388138831
231200,292849.7804386512
269100,291549.43697916844
95000,136617.84319990792
219500,270129.8738484798
182400,149530.27249739325
109100,123269.1106854285
500001,284923.21236667165
246000,223771.9713766343
236900,202582.70780027658
270000,143759.65219318084
293500,415901.6231499395
500001,453082.3952396024
159200,196833.61914451187
500001,344024.11756044737
500001,398439.1767732173
142100,198509.00925401697
126600,147218.69077797933
173400,162000.89143325857
141900,188445.9156873325
216500,204902.9820819502
250000,209324.56781824993
119800,184248.70664155213
111500,-11378.394148870255
239000,207078.6749673934
369300,262058.287864045
290900,296858.913935643
200300,189005.50076557178
85900,97820.1269918181
282100,234612.7918348128
380600,386341.56320776267
122600,136696.89355971123
500001,548574.692036018
161700,206767.1214320727
458300,289493.534362347
122500,198358.22711951827
348400,330750.7961607917
121400,141687.27479144625
196900,192153.80844384845
500001,359856.26220264536
393100,292584.63009816746
215900,240618.69489991575
126300,174398.354043769
119400,133203.22306382353
145200,79303.39642043898
107800,168873.75925025425
73000,134134.40095283103
116000,82959.2718485373
132900,196435.6809808175
159800,121457.58603606548
238000,151379.8926379417
47700,102975.0501643495
393800,328624.0809381724
379300,312375.1202219585
263300,207628.75599900237
280900,213658.55390878033
147300,142266.9079113357
84800,85937.88359006734
86900,138089.49653713583
75000,13091.399808657843
86400,150646.78213287267
186300,222291.48417146
93000,98322.84831697907
345300,212193.1090460284
343100,323732.7064780125
354700,248633.19926062928
406200,314235.6280824276
109400,153078.00640494534
136800,164274.48567156354
425000,192193.42194131663
246200,242885.82065826905
164700,195157.1736863439
429000,231448.0377117715
87500,198559.9332967417
358600,287060.0891970771
322900,264385.3157075584
117200,104798.87099118147
84600,200209.6220714572
126900,141717.58515354822
105600,144444.69255737227
80000,82516.25191745276
89600,147699.39257107401
148200,188105.09807972793
191900,217466.37549497385
99300,109760.20836363186
354500,276234.76973947574
180800,216950.64891826175
172700,175525.49338423653
282400,301167.054499962
47000,39843.41748873249
500001,505396.3687507754
108000,129359.3586426124
282500,280659.27420609415
201200,217263.59423732685
165300,119573.76695485119
66100,103727.52116939903
72500,130179.86267466868
113900,168702.44177503465
222500,258693.71646856164
137300,183418.59428548178
197500,178393.9639465597
189700,227834.76636774937
103400,324352.3114831739
227100,271759.66408986214
460200,292150.80819334334
185400,219502.07792093424
221600,263582.12788821897
388700,375038.99883921404
176000,214341.2443033544
330800,182432.6891787228
257000,230540.7404226161
185400,159201.78142098105
158500,163686.022686438
500001,443083.2365296772
221800,269822.6628322548
137100,151147.03789720012
80400,46656.18960117466
65900,57783.40304718613
351000,262392.6356751341
300000,239404.4912021187
190400,241142.66238364822
73500,-38467.6069214351
156600,220432.4224310609
153600,188187.6916395993
142500,165766.30466927943
160700,158315.18373588624
348500,286028.6473980179
117800,164171.5929434976
178600,196152.6478010674
175000,212072.30207174612
112500,69200.63121488613
200000,185781.7178178791
93800,142936.9100585781
500001,396756.24724675535
54100,72235.5578533596
217300,232844.62777831842
397800,267770.23181121354
152100,229917.0044866988
108400,202397.20101022138
192700,235386.33304611524
233800,221425.58436916946
195100,218657.90247916392
90600,125876.13098844196
132200,179822.32359586266
73100,133726.04934334708
396800,271907.67649870703
90900,119847.7674741385
213500,231254.48695206348
181700,177768.51588105637
180400,94355.46754924409
162500,305148.6752321202
81700,107919.99467452393
314700,257460.77267929318
78800,84869.37244274416
146200,158534.05578529884
121200,173542.3034376431
293700,229585.6206100751
138100,239649.61403158624
293100,271437.62076465145
358100,192832.08263226686
157500,145912.62818319525
355000,298541.7365929632
103600,181640.341417778
110600,143903.08027449367
192200,248566.79984475623
281600,329851.0490341224
71900,71061.22699015186
333900,292188.69066512975
161800,148943.31304346028
88600,92501.211077035
134600,151720.82930691435
134200,195776.50229148148
73100,51278.31757292416
155500,274366.52915088297
188300,273881.625881869
55700,73034.94654726898
272500,250444.69323953014
116000,214162.15000994204
231300,198092.45761032845
248400,294033.4494568752
412500,220271.17836019414
137500,136415.4031505222
166300,225535.66512714166
368300,340599.41748887196
66800,100425.86610162003
183200,183801.2172544805
189100,184791.6826174248
390100,403438.9226168373
137500,97260.4116545693
91000,137048.98352085496
152500,151747.77111086
333300,366199.8018512234
500001,403391.3987164632
383600,281794.6981713179
177400,147375.35551424284
65400,142192.3532192811
135600,151080.3740145146
428300,230542.56522182192
157300,179729.94044157676
218300,275642.0053894796
432700,303716.3666756919
173200,196727.3027444756
65200,68741.04202046964
113600,110641.5981044852
113900,191459.55004974653
83200,126005.32075427676
351300,358160.9713418912
219400,242075.96866903594
181500,281633.50637206703
106300,162702.15443358786
185900,227375.658696421
332500,273321.05933969317
275000,124950.75963871017
136600,127796.51426806248
233900,210332.3274130536
178000,231852.71763193744
169100,203269.79372192203
281300,295838.7974090657
222100,248117.20010218685
193200,221740.21309461308
147200,236914.83642266336
43300,62820.06241901104
154700,183395.7258056477
410000,180650.62577195524
157700,237711.4286494661
270600,262272.26173054404
176100,226446.8661697636
140700,108434.74911603528
91400,82997.85728824027
49800,59398.710298014266
240500,218283.06335843762
141300,123338.45053144544
88900,68055.92753230898
119700,136963.58050393272
225000,193463.03404660476
128100,230020.39657465916
62100,85390.03262729142
221700,175179.83477656846
500001,293236.1038897858
464600,369104.5248532993
400400,333659.89051193267
157500,166316.35363174265
279400,300084.0300836626
152900,169555.60270981345
47500,108505.8993987009
170400,239406.9854899662
500001,410811.1896554333
248600,240672.8225576082
41400,62353.178870859876
218300,263280.1560229256
105600,117298.23091463668
170800,174623.10742519214
132600,187735.57327177338
257400,251372.4041073089
276400,250583.96598493634
163500,204339.24539321673
485700,282620.5048569405
223500,238678.82979681087
113400,118781.23930717807
205300,126391.18475987802
170400,217285.98629534256
233300,238688.54919601954
186000,219474.50128271387
167800,230424.7607813846
212000,223368.15185026772
262500,187825.3025589936
191800,219993.3862846325
158800,205744.05746846867
420100,269792.491189401
185600,198885.8570248983
199400,270309.78797166655
213600,175897.89998113038
69000,75423.78748485327
158900,184610.07748828764
128100,153608.72226381378
423100,275123.8710249112
169300,225557.65608315472
280000,224820.9308586856
356000,328582.95386018045
58000,124518.1826387247
80600,159107.27925515117
265600,280742.1861310609
229200,234544.47575356634
150900,159587.77761014638
190300,165052.75327456847
234000,272432.98009808536
196000,229304.98394794273
118300,191056.4339228596
84900,81581.51182189959
120200,125399.66642827686
500001,107467.50774313798
500001,504744.8900288015
119600,52398.0143820066
500001,341172.7611737739
120700,162535.69709155697
69800,150403.876531608
355800,280442.9919940212
270800,309955.6717616104
400000,263549.6539372355
330700,308955.467611264
175000,176766.20493779157
159700,262606.1034337118
183800,242675.42884105
314000,274868.85420829005
81300,156248.12916184808
52500,209853.76722937557
158300,103655.9774334623
67500,202391.59984582145
341200,317653.1716303595
54700,33374.38159568417
149600,194069.55708262773
109600,177587.22149065544
49500,53083.48509667586
329800,293023.72534351144
150000,137550.63669036323
327100,323322.3004188268
135000,184464.7613628921
405100,325328.224183979
387300,283895.1550566907
500001,245874.86895498482
331000,299752.0090222679
125000,135395.62059213506
264900,296911.2818805386
69400,68853.48127595366
79400,55527.06657740585
164900,198533.36201952002
151700,241593.37127186812
127700,147268.8162777854
146000,187192.24563423858
200000,153278.40728746902
156900,225381.8071320342
435200,296203.2445717007
188000,246027.6695251789
187500,231661.230723957
86300,115205.76743340977
488900,260357.8161351981
154300,191674.16367425537
214800,230470.8788097511
104900,95771.02650014113
299600,259187.48452924384
211700,208808.5983198783
159400,121893.23749537925
300900,325864.78426908166
132300,101610.11161006438
133700,233248.92194095213
258300,224314.15060392587
443800,319956.7391888816
438900,261380.4913828094
362600,386200.0756057939
334100,294935.27127421706
117300,146900.65463211038
74500,23928.9672859727
263700,271007.11380589195
103600,166343.4308565786
135000,195263.60979895946
158500,249308.7902447497
118800,141948.2262400808
321900,297923.1042224739
171700,186694.77309635532
93400,89440.14801908263
123500,107310.47576352209
133600,123731.06138391844
61000,91263.00911224967
133800,75320.73630112645
155600,173690.1947616263
62800,106827.10201375272
136700,62331.18642176903
500001,333234.5402046426
87500,155450.41193110583
369400,230371.76542562785
158000,170023.32936446794
122600,128407.82833317884
236100,204924.0456080776
189600,218962.58762164146
138300,171956.3360151338
67000,130456.7859851245
143800,144342.9914011206
330300,227759.55721686056
148500,210982.64325969265
66800,54782.8994760282
236900,244844.4160101849
168100,146577.6664477649
204300,239468.61142677386
83500,178370.7973498723
110600,188685.96512298513
152600,193138.65817756017
276800,225128.1303801517
217300,245499.94602483034
322600,236090.78140333353
358200,306123.5441880148
47500,101086.94694263459
179200,177441.74633254058
350000,284788.9691904784
275000,212690.28350584008
363500,325276.557914122
137500,108654.44008289193
148800,190951.3757377522
264700,308633.66371492646
153800,96044.3708766296
78900,129500.26561065431
225200,212418.55831226456
380000,364500.76232547464
350000,82139.02703743336
134200,110505.78093637395
212500,233111.36366392806
254200,281237.1206122748
410000,252011.8406117453
254500,186705.9459935272
254200,252662.90013973162
500000,256670.0619172733
363800,365020.33059254533
350000,180156.77144690813
295900,207510.00559748997
182300,219696.22646342695
169400,228270.0607819853
221100,241962.31569915736
257800,262139.55379559577
142300,183572.39487325255
81300,116479.32981569337
168100,178320.0259825989
68600,57794.54085603249
138500,135478.64520012075
165200,211889.1465584277
253900,217315.6449420766
300300,270782.10445903963
233200,247036.66230507995
208300,257300.4917810009
244500,289353.3209720463
175000,95096.34225835068
234700,306351.817278234
188000,252515.248818993
275000,241409.75733855652
491200,373015.27268150105
321300,225951.51429236511
60000,92164.44033973316
55800,33051.932697643
82800,136702.5225326515
500001,542407.479340248
140600,134863.03542833257
207300,252553.12236170287
139800,196704.31177227618
213800,235353.7730601051
176100,221069.53817045374
267500,263930.0238093978
79800,123682.40886729409
171100,206760.3163456177
367600,368284.17657790903
189900,186484.85471327457
267600,269447.9562084357
43900,137684.58589272696
322900,263596.654586973
169700,174705.71006235605
155800,156022.7576020059
51600,77930.2002231852
105400,137663.4640841253
185700,173838.64535643032
268800,272429.3060011227
67000,96245.03729751366
344700,304809.65212698514
500001,401867.02369664935
129200,206580.56824264472
142500,104816.27684197322
152800,118721.94394383708
133000,143437.8127082191
148900,206265.61148070853
500001,315931.1505710311
185100,242548.26982703668
139000,183722.65598391579
162500,168285.70203187002
146400,149166.79488226277
98400,124336.82542805995
230400,171023.02370562474
99200,127189.34341632413
370000,261553.9625166292
85000,178711.586101348
164600,143927.78619931877
166400,200333.21113919304
125000,156647.31272382714
52600,100312.62788061336
80000,198691.3782597942
95700,1054.3848762700363
128300,65126.61004630504
318500,282572.4388128023
443300,263061.5644664886
267000,247654.43328541922
190300,209628.898654394
59900,94617.94006401564
231800,182446.97651945899
152500,235813.71584643846
66800,105245.04461775302
236200,243767.24498957294
111700,142093.06745555473
349500,388012.37358182814
184000,253038.89675931373
217700,269223.24693883257
247900,243551.48581309608
147500,226429.90378217533
107400,91551.48168527715
386400,281012.82688761584
253800,240557.3298395195
472000,403202.1790801395
76200,132023.29554507334
182100,233038.10223223348
188900,91120.03454094754
369100,351530.7386996754
130100,180670.04239490087
162000,182044.44958076012
115200,183012.51398303287
83600,130283.50852236379
170800,149220.97814787872
228200,220394.12168883914
215400,208910.6452855559
225200,263165.5665707693
202200,244374.10243391123
381800,399979.75008975936
438500,402481.8671918128
222300,151539.20896511665
353600,317529.8085310077
318100,224679.00280722213
204400,192681.27434611734
206800,199496.3514518965
154900,120065.87826184803
169700,164451.67269022527
147600,173349.35938473986
84800,104052.52840068325
61200,82166.72512690038
143600,142238.8030773012
134500,153399.70263942602
106200,147799.93363459912
292300,336519.855270618
222400,215382.68654458295
59000,90647.80575010134
103000,125100.62233290967
67400,77313.24583386416
143400,170432.68605832115
51500,99140.97070464352
184200,262672.5750024142
76500,63218.85701050112
229200,329148.5646743237
212500,229313.3653911713
110800,143229.0334338225
160000,179160.10713779635
376200,363758.9256739674
201900,206435.95776462829
137900,211588.26194376333
114800,184986.5513691036
139200,116890.8227548839
163900,209274.60844422042
189600,258656.01822195615
67500,170484.8118574796
164900,199311.18972881924
225000,231616.58529502244
184100,225272.05852007974
397000,286789.618184312
233100,210193.29526766806
109000,130936.03375465443
398400,279608.0160511285
113200,127721.76794356432
77100,105576.25833138391
67000,58956.78070633017
340500,222085.88380596068
112500,98218.2515572108
363500,245618.8703725635
145800,147416.318019385
193500,290830.4315586171
86300,140966.53093457932
500001,419590.5850618273
137000,230545.67306163645
374500,299862.45521719725
143000,165235.54088941804
94900,131682.39928566408
500000,289125.3876261456
150500,208368.57144129823
269300,240391.7407983212
265000,189530.80842423846
87500,109500.2921596507
178100,200698.77195470524
218500,218587.9797439532
238600,229247.1959584406
79800,88711.46332231782
103400,107395.65526286369
353600,366355.68678333977
183600,238634.7148379639
55000,108182.58863630312
162000,171095.93856309186
310600,333510.5433474294
168300,215719.5445129894
55500,13072.695358315832
312400,259449.35642603866
165200,211841.38712482815
402900,315320.6041415508
96700,144686.00464493665
181800,251448.33640026493
275000,292113.70802688354
43500,-27395.07047734817
255100,324955.6529911093
376600,309838.666955516
151400,120927.94653124889
238500,192456.82407364665
126800,116760.82711486038
212500,182157.11031420185
320100,300615.85584828677
276000,248304.9880497044
144400,139811.20311626446
362300,327113.09029972425
68600,78438.54285376974
165400,224931.06847997874
273000,242189.71994687183
147500,133463.7382645352
231600,231726.7783628496
64100,101474.09153443747
151400,221362.573238533
53000,66166.77858234382
227400,242785.80357906682
432100,316476.16137317877
125700,122704.56126826577
333700,240906.79613473054
90400,103532.46728467924
185600,239909.86570121415
87500,85242.45180995676
176000,193405.30640122248
53500,-83618.0903205665
102500,124770.99018459277
154800,203217.15302139934
67700,77518.39738549378
69000,48758.92756008959
122700,161386.93275420598
113900,145590.41684969806
68300,118986.62556269114
482700,334208.0928268321
500001,283056.09951619036
160900,186757.53001758826
164500,170085.86825213645
218100,192275.61301087542
143500,127509.49142207348
426400,337206.81527589425
195300,349505.28503086034
259400,233431.03196794348
144500,183650.41076748466
77100,107487.45169971159
327700,281753.4482568393
190900,238379.0525806367
242100,208628.06324351038
292900,245483.86239946136
187200,171487.4942935908
245500,266668.15863524907
135000,121656.85778267066
500001,514981.03460856027
311100,182983.9768621524
67500,83283.99058009208
161500,201029.6716614946
184400,193667.78284115443
204700,174079.61132669347
217500,217165.15987292508
192200,211854.68897211956
500001,463605.7423506446
255600,280674.5116724115
164000,236349.09495928066
374600,215811.0900337012
50600,26509.361986769203
105000,111671.11622899486
79200,115959.12743087717
185800,242568.452378604
228100,184408.26657113413
202900,240211.34376786856
286800,306756.00671153533
138500,128946.10890318482
68500,60788.02674307592
71000,62446.80883310954
275000,233784.1302314009
312500,178904.89991922906
244800,299208.1035346121
93800,163359.07008031398
274200,234319.8098418905
90200,180074.79399485356
76900,78686.55744510719
151700,153807.4871837291
175000,250546.2964668418
189300,160086.98574943442
98000,184012.82438618402
200000,167609.4906338425
361500,259662.74880785638
258300,334516.7257652263
496000,314340.33920706075
233000,252484.8453008052
113200,142911.18920147093
365700,394946.04254595086
54600,75838.35519592292
182500,281280.13382713735
151700,189619.28415504732
61200,31338.41585716787
126700,202553.3461982579
200000,247048.75340899077
160000,207505.33117167727
83300,172124.9447416013
258000,255255.86891190562
55500,99609.25898061723
214200,242725.36742144282
201900,225246.2828607848
318700,336467.172971551
279200,275719.1493955716
142600,91018.76793280487
87500,124454.08376902627
107900,109833.77284508201
340500,245659.12012050065
252200,230995.80598657348
312500,150542.57803624362
190000,252051.31039336728
327300,298632.18325139
201700,244983.2980663047
77100,12592.332319763635
201000,256546.74716586864
191700,154748.75270690693
340000,311110.3509171752
190800,262846.9032744368
53200,138360.26497928574
101700,79791.40726360201
158500,235198.0452063289
63800,105295.62643405207
166200,204401.685388508
395000,282228.75135659426
334600,332177.9450074047
228600,252849.95699664927
115400,182093.7878820072
55000,141303.25432064926
130800,160288.2441156109
78600,67201.4126334381
58600,78234.72210860401
84700,137810.78446191546
200000,91680.52084807245
171800,213654.6162261206
362800,332850.51950411685
208900,190970.82755207905
111000,77877.67040770246
218200,154012.2661761712
208700,238858.78129750938
500001,522205.17212429084
170300,135464.7552601376
82300,118090.32849099075
185700,214831.7739767127
212500,128070.55081729454
112500,107084.3409725902
174500,210596.42524947692
141300,140103.4542676752
400000,266574.6645923188
243800,228141.36080830527
319000,292587.42327390367
161000,224546.0588220412
500001,298503.9269581974
241700,242175.42093510393
195900,261499.94051005004
122100,206968.40753859337
500001,678214.3482276513
92700,92155.82272444434
459200,289593.136615988
500001,464406.22653946065
262000,251810.67885865402
48800,110601.86486566873
500001,530802.5939220838
334300,233571.7717596619
205100,272617.92790155497
153200,221352.31811214233
366000,297922.51538062736
127100,147333.445095456
120400,161495.2704795972
137500,202129.77478855493
138700,171230.12053453797
114400,162234.02138330016
269100,261889.2384304278
102500,131481.15977127152
54900,138194.14217766607
130700,119709.19968467261
134500,230917.8689319285
450000,192976.74053103974
72500,84002.40822652739
316700,349960.7152784595
137000,206087.26380065348
101900,97979.8213772933
342400,289634.3891355316
256000,290946.36091724545
400700,363830.0418524082
500001,404028.93484441255
279900,234025.74460752035
93600,77672.24545043887
109500,222804.99831237952
83300,150568.53919176772
331300,271058.07191189425
124100,150032.07365927123
500000,230747.1804182326
162500,173446.43810156945
439800,330183.8359272729
500001,463139.0666333901
287500,253284.13490074078
131000,173147.89984696498
207000,278592.8818972026
194100,285206.47424032737
95800,143243.23727501437
277300,288470.1487705798
154700,198982.50609740723
287500,355833.2231593198
107300,157042.33846177236
275900,272472.8026817398
380400,257534.1818398873
190600,177379.50996151924
76400,185155.57030847197
112500,158896.78193042503
500001,440188.7136328142
272200,281121.37991117605
340400,198788.7205395609
364800,236243.6432197599
137500,83940.6526307358
62300,99459.83045382828
94200,55612.735652971285
179000,204194.9696457018
332600,216869.13980324715
236200,241920.91254999914
250800,325301.91972332785
118300,96804.52644175239
253800,251778.63560061826
66300,55444.28874439271
97200,226973.85955911307
286100,281217.25823269074
369400,311805.4251389683
97900,194466.7283664614
218400,281783.0206504723
149500,207930.33559057192
319400,231480.30075279798
60600,110829.98322715526
92200,102982.78133141842
311200,233823.37274317959
118000,175029.7531505526
118100,188913.70286922535
172400,312911.3796984105
60000,119209.88382630405
363800,277036.22644471226
55300,53833.6319968396
212000,201522.38746146
273300,250152.1809046057
187500,205517.73512600065
400000,249976.7347303959
330500,326971.185299278
150000,155248.3759145484
344000,302889.28938221035
295800,280727.0324913928
183300,132016.04424521135
189300,197926.59132064506
76100,169234.9990422833
187500,105636.41992708569
95100,134143.47048826076
53600,26926.92483000482
130900,104076.25072361346
68200,94748.24474473494
206300,127477.80668754433
132000,168875.57388513212
347800,211997.41257591516
112500,230605.67930293301
151000,207067.4058751496
426800,428158.7615777511
